公司全称,公司简称,品牌,产品系列,型号,类型,价格 (元),主要用途,发布时间,身高 (cm),重量 (kg),自由度,最大速度 (m/s),续航时间 (h),算力平台,传感器配置,认证资质,销售渠道,官网链接,事故总数,伤亡人数,机损金额 (元),物损金额 (元),2023 年销量,2024 年销量,2025 年销量,累计销量,2025 年市占率,2025 年营收 (万元),核心客户类型,海外销量占比,毛利率,销售数据来源
大疆创新科技有限公司,大疆 DJI,DJI,工业无人机,Matrice 350 RTK,工业无人机,35999,电力巡检/测绘,2023-06,-,6300,-,-,1.5,0.8h,嵌入式控制器,激光雷达 + 视觉,CE,企业直销,https://www.dji.com,1,0,420000,,,,,,,,,,
大疆创新科技有限公司,大疆 DJI,DJI,影视无人机,Inspire 3,影视无人机,169999,影视航拍,2022-05,-,4200,-,-,2.0,0.5h,嵌入式控制器,视觉 + 红外,CE/FCC,官网/经销商,https://www.dji.com,1,0,185000,,,,,,,,,,
广州极飞科技股份有限公司,极飞,XAG,P 系列,P150 2025 款,农业无人机,89999,农业植保,2024-10,-,55000,-,-,3.5,0.4h,嵌入式控制器,雷达 + 视觉,CE,企业直销/经销商,https://www.xa.com,1,0,95000,45000,85000,125000,255000,64%,11249875,农业用户,25%,42%,企业发布
广州极飞科技股份有限公司,极飞,XAG,P 系列,P40 2024 款,农业无人机,79999,农业植保,2023-09,-,48000,-,-,3.0,0.35h,嵌入式控制器,雷达 + 视觉,CE,企业直销,https://www.xa.com,0,0,0,,,,,,,,,,
广州极飞科技股份有限公司,极飞,XAG,农业无人车,R150,农业无人车,68000,农业运输/喷洒,2024-03,-,380,-,-,2.0,4h,嵌入式控制器,激光雷达 + 视觉,CE,企业直销,https://www.xa.com,0,0,0,,,,,,,,,,
海尔智家股份有限公司,海尔,Haier,服务机器人,CARL-M1,服务机器人,128000,商用服务/导览,2024-01,-,55,-,-,1.0,8h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销,https://www.haier.com,1,1,35000,,,,,,,,,,
松灵机器人有限公司,松灵,AgileX,移动机器人,SCOUT 2.0,移动机器人平台,45000,科研开发/教育,2023-04,-,32,-,-,2.5,3h,嵌入式控制器,编码器+IMU,CE,官网/经销商,https://www.agilex.ai,1,0,28000,,,,,,,,,,
中联重科股份有限公司,中联重科,ZOOMLION,建筑机器人,ZASS-10,建筑机器人,2800000,建筑施工/高空作业,2024-06,-,3500,-,-,0.5,6h,工业 PC,激光雷达 + 视觉 + 倾角,CE,企业直销,https://www.zoomlion.com,1,1,680000,,,,,,,,,,
美的集团股份有限公司,美的,Midea,服务机器人,M-R1,服务机器人,98000,商用服务/配送,2024-08,-,50,-,-,1.0,8h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销,https://www.midea.com,1,1,45000,,,,,,,,,,
长虹电器股份有限公司,长虹,Changhong,家用机器人,CHiQ-Bot,家用机器人,28000,家庭服务/娱乐,2024-05,-,35,-,-,0.8,4h,嵌入式控制器,摄像头 + 红外,3C/CE,官网/电商,https://www.changhong.com,1,1,28000,,,,,,,,,,
神思电子技术股份有限公司,神思电子,SSIE,服务机器人,SS-Service,服务机器人,118000,商用服务/导览,2024-02,-,48,-,-,1.0,8h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销,https://www.sses.com.cn,1,0,32000,,,,,,,,,,
新大陆科技集团有限公司,新大陆,Newland,支付机器人,NLS-R1,支付机器人,158000,商业支付/服务,2024-04,-,52,-,-,1.0,10h,工业 PC,激光雷达 + 深度相机,CE,企业直销,https://www.newland.com.cn,1,0,580000,,,,,,,,,,
格力电器股份有限公司,格力,Gree,工业机械臂,Gree-Bot,工业机械臂,198000,焊接/搬运,2023-10,-,220,6,-,-,专用控制器,编码器,CE,企业直销,https://www.gree.com,1,1,95000,0,,,,,,,,,,
爱仕达股份有限公司,爱仕达,ASD,厨房机器人,ASD-R1,厨房机器人,58000,家庭烹饪,2024-07,-,42,-,-,0.5,2h,嵌入式控制器,温度 + 视觉,3C/CE,官网/电商,https://www.asd.com.cn,1,1,18000,,,,,,,,,,
正泰集团股份有限公司,正泰,CHINT,电力机器人,CHINT-R1,电力巡检机器人,268000,电力巡检/检测,2024-03,-,85,-,-,1.5,6h,工业 PC,红外热成像 + 激光雷达,CE,企业直销,https://www.chint.com,1,0,88000,,,,,,,,,,
中国中车股份有限公司,中车,CRRC,轨道机器人,CRRC-IR,轨道巡检机器人,580000,轨道巡检/检测,2024-08,-,280,-,-,2.0,4h,工业 PC,激光雷达 + 视觉 + 超声,CE,企业直销/政府采购,https://www.crrcgc.cc,1,0,380000,,,,,,,,,,
埃夫特智能装备股份有限公司,埃夫特,EFORT,ER 系列,EFORT-ER10,工业机械臂,175000,焊接/搬运/喷涂,2023-08,-,180,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.efort.com,1,1,175000,0,,,,,,,,,,
大显科技有限公司,大显,DX,服务机器人,DX-Service,银行服务机器人,168000,银行服务/导览,2024-06,-,55,-,-,1.0,8h,工业 PC,激光雷达 + 深度相机,CE,企业直销,https://www.daxian.com,1,0,120000,,,,,,,,,,
铂亚信息技术有限公司,铂亚,POYA,安防机器人,POYA-R1,安防机器人,198000,安防巡检/监控,2024-09,-,65,-,-,1.2,6h,工业 PC,激光雷达 + 热成像,CE,企业直销/政府采购,https://www.poya.com.cn,1,0,68000,,,,,,,,,,
北京极智嘉科技有限公司,极智嘉,Geek+,农业机器人,AGV-Agri,农业搬运机器人,168000,农场物料搬运,2024-05,-,150,-,-,1.5,10h,工业 PC,激光 SLAM+ 视觉,CE,企业直销/项目定制,https://www.geekplus.com,0,0,0,,,,,,,,,,
上海麦歌智能科技有限公司,麦歌,MageRobo,采摘机器人,MG-Pick1,果蔬采摘机器人,280000,果蔬自动采摘,2024-08,-,120,-,-,0.8,6h,嵌入式控制器,3D 视觉 + 力觉,CE,企业直销,https://www.magerobo.com,0,0,0,,,,,,,,,,
上海麦歌智能科技有限公司,麦歌,MageRobo,采摘机器人,MG-Pick2,智能采摘机器人,350000,果蔬自动采摘,2025-03,-,135,-,-,1.0,8h,工业 PC,3D 视觉 + 力觉 + 深度,CE,企业直销/租赁,https://www.magerobo.com,0,0,0,,,,,,,,,,
北京猎户星空科技有限公司,猎户星空,OrionStar,农业机器人,OS-Agri1,农业巡检机器人,128000,农田巡检/监测,2024-06,-,85,-,-,1.2,8h,嵌入式控制器,视觉 + 红外 + 多光谱,CE,企业直销,https://www.orionstar.com,0,0,0,,,,,,,,,,
深圳深兰科技有限公司,深兰科技,DeepBlue,农业机器人,DB-Agri1,智能除草机器人,198000,农田除草/施肥,2024-09,-,95,-,-,1.0,6h,工业 PC,视觉 + 激光雷达,CE,企业直销,https://www.deepblueai.com,0,0,0,,,,,,,,,,
杭州睿农科技有限公司,睿农,RuiNong,农业机器人,RN-Harvest,智能收割机器人,450000,粮食自动收割,2025-01,-,280,-,-,1.5,4h,工业 PC,视觉 +GPS+ 雷达,CE,企业直销/政府采购,https://www.ruinong.com,0,0,0,,,,,,,,,,
广州极飞科技股份有限公司,极飞,XAG,R 系列,R150 Pro,农业无人车,78000,农业运输/喷洒,2024-06,-,420,-,-,2.5,5h,嵌入式控制器,雷达 + 视觉+RTK,CE,企业直销/经销商,https://www.xa.com,0,0,0,2800,5200,9500,17500,52%,74100,农业用户,18%,40%,估算
广州极飞科技股份有限公司,极飞,XAG,R 系列,R80,农业无人车,58000,农业运输/播撒,2024-03,-,380,-,-,2.0,4h,嵌入式控制器,雷达 + 视觉,CE,企业直销,https://www.xa.com,0,0,0,,,,,,,,,,
新石器慧通（北京）科技有限公司,新石器,Neolix,无人配送车,X3,无人配送车,188000,末端配送/零售,2024-02,-,280,-,-,1.0,10h,工业 PC,激光雷达 + 视觉+5G,CE,企业直销/运营合作,https://www.neolix.cn,1,0,85000,850,1200,1850,3900,32%,34780,商超/外卖,0%,35%,企业发布
新石器慧通（北京）科技有限公司,新石器,Neolix,无人配送车,X3 Pro,无人配送车,228000,末端配送/零售,2025-01,-,300,-,-,1.2,12h,工业 PC,激光雷达 + 视觉+5G,CE,企业直销/运营合作,https://www.neolix.cn,0,0,0,-,280,650,930,11%,14820,商超/外卖,0%,38%,估算
新石器慧通（北京）科技有限公司,新石器,Neolix,无人配送车,V3,无人零售车,168000,移动零售/配送,2024-05,-,260,-,-,1.0,10h,工业 PC,激光雷达 + 视觉,CE,企业直销/租赁,https://www.neolix.cn,0,0,0,,,,,,,,,,
美团,美团,Meituan,无人配送车,Magic Bot 2.0,无人配送车,258000,外卖配送,2024-08,-,320,-,-,1.2,8h,工业 PC,激光雷达 + 视觉+5G,CE,自营/合作运营,https://www.meituan.com,1,0,120000,680,980,1200,2860,21%,30960,外卖配送,0%,-,企业发布
美团,美团,Meituan,无人配送车,Magic Bot 3.0,无人配送车,298000,外卖配送,2025-06,-,340,-,-,1.5,10h,工业 PC,激光雷达 + 视觉+5G,CE,自营/合作运营,https://www.meituan.com,0,0,0,-,180,450,630,8%,13410,外卖配送,0%,-,估算
京东物流,京东,JD,无人配送车,JD-Ant 5.0,无人配送车,218000,快递配送,2024-04,-,300,-,-,1.2,10h,工业 PC,激光雷达 + 视觉+5G,CE,自营/合作运营,https://www.jd.com,1,0,95000,580,820,980,2380,17%,21364,快递配送,0%,-,企业发布
京东物流,京东,JD,无人配送车,JD-Ant 6.0,无人配送车,258000,快递配送,2025-03,-,320,-,-,1.5,12h,工业 PC,激光雷达 + 视觉+5G,CE,自营/合作运营,https://www.jd.com,0,0,0,-,180,520,700,9%,13416,快递配送,0%,-,估算
阿里巴巴,菜鸟网络,Cainiao,无人配送车,GPlus,无人配送车,198000,快递配送,2024-03,-,280,-,-,1.0,10h,工业 PC,激光雷达 + 视觉,CE,合作运营,https://www.cainiao.com,0,0,0,,,,,,,,,,
阿里巴巴,菜鸟网络,Cainiao,无人配送车,GPlus Pro,无人配送车,238000,快递配送,2025-02,-,300,-,-,1.2,12h,工业 PC,激光雷达 + 视觉+5G,CE,合作运营,https://www.cainiao.com,0,0,0,,,,,,,,,,
白犀牛智达（北京）科技有限公司,白犀牛,White Rhino,无人配送车,WR-1,无人配送车,178000,末端配送,2024-01,-,260,-,-,1.0,8h,工业 PC,激光雷达 + 视觉,CE,企业直销/运营合作,https://www.whiterhino.com.cn,0,0,0,,,,,,,,,,
白犀牛智达（北京）科技有限公司,白犀牛,White Rhino,无人配送车,WR-2,无人配送车,208000,末端配送,2024-09,-,280,-,-,1.2,10h,工业 PC,激光雷达 + 视觉+5G,CE,企业直销/运营合作,https://www.whiterhino.com.cn,0,0,0,,,,,,,,,,
行深智能科技有限公司,行深智能,XingShen,无人配送车,Insight 1.0,无人配送车,168000,末端配送/零售,2024-02,-,250,-,-,1.0,8h,工业 PC,激光雷达 + 视觉,CE,企业直销/租赁,https://www.xingshenai.com,0,0,0,,,,,,,,,,
行深智能科技有限公司,行深智能,XingShen,无人配送车,Insight 2.0,无人配送车,198000,末端配送/零售,2025-01,-,270,-,-,1.2,10h,工业 PC,激光雷达 + 视觉,CE,企业直销/运营合作,https://www.xingshenai.com,0,0,0,,,,,,,,,,
毫末智行科技有限公司,毫末智行,Haomo,无人配送车,XiaoMo 1.0,无人配送车,228000,末端配送,2024-06,-,290,-,-,1.2,10h,工业 PC,激光雷达 + 视觉+5G,CE,企业直销/合作运营,https://www.haomo.ai,0,0,0,,,,,,,,,,
毫末智行科技有限公司,毫末智行,Haomo,无人配送车,XiaoMo 2.0,无人配送车,268000,末端配送,2025-04,-,310,-,-,1.5,12h,工业 PC,激光雷达 + 视觉+5G,CE,企业直销/合作运营,https://www.haomo.ai,0,0,0,,,,,,,,,,
苏州清研智行科技有限公司,清研智行,Qingyan,无人配送车,QY-D1,无人配送车,158000,末端配送,2024-03,-,240,-,-,1.0,8h,工业 PC,激光雷达 + 视觉,CE,企业直销,https://www.qingyanai.com,0,0,0,,,,,,,,,,
北京智行者科技股份有限公司,智行者,Idriverplus,无人配送车,Venus,无人配送车,248000,末端配送/环卫,2024-05,-,320,-,-,1.2,10h,工业 PC,激光雷达 + 视觉+5G,CE,企业直销/项目定制,https://www.idriverplus.com,0,0,0,,,,,,,,,,
坎德拉（深圳）科技创新有限公司,坎德拉,Candela,无人配送车,Sunrise,多功能配送车,138000,室内配送/服务,2024-01,-,180,-,-,1.0,8h,嵌入式控制器,激光 SLAM+ 深度相机,CE,企业直销/租赁,https://www.candela.com.cn,0,0,0,,,,,,,,,,
普渡科技有限公司,普渡,Pudu,配送机器人,BellaBot Pro,餐饮配送机器人,98000,餐厅配送,2024-06,-,48,-,-,1.2,12h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销/经销商,https://www.pudutech.com,0,0,0,,,,,,,,,,
普渡科技有限公司,普渡,Pudu,配送机器人,KettyBot,楼宇配送机器人,128000,楼宇配送/服务,2024-09,-,52,-,-,1.2,12h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销,https://www.pudutech.com,0,0,0,,,,,,,,,,
上海擎朗智能科技有限公司,擎朗智能,KEENON,配送机器人系列,T10,多功能配送机器人,138000,医疗/酒店配送,2024-08,-,55,-,-,1.2,14h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销/租赁,https://www.keenon.com,0,0,0,,,,,,,,,,
上海擎朗智能科技有限公司,擎朗智能,KEENON,配送机器人系列,T30,重载配送机器人,168000,重载配送/服务,2025-02,-,65,-,-,1.0,12h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销,https://www.keenon.com,0,0,0,,,,,,,,,,
云迹科技（北京）有限公司,云迹科技,Cloud 迹,服务机器人系列,Runner Pro,酒店服务机器人,148000,酒店配送/服务,2024-08,-,55,-,-,1.2,12h,工业 PC,激光雷达 + 深度相机,CE,企业直销/租赁,https://www.cloud 迹.com,0,0,0,,,,,,,,,,
优必选科技股份有限公司,优必选,UBTECH,商用服务,Cruzr S2 Pro,商用服务机器人,178000,商业导览/服务,2024-10,-,160,-,-,1.2,10h,工业 PC,激光雷达 + 深度相机,CE,企业直销,https://www.ubtrobot.com,0,0,0,,,,,,,,,,
北京猎户星空科技有限公司,猎户星空,OrionStar,服务机器人,OS-Serve1,商用服务机器人,118000,商业导览/配送,2024-04,-,50,-,-,1.0,8h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销/租赁,https://www.orionstar.com,0,0,0,,,,,,,,,,
北京猎户星空科技有限公司,猎户星空,OrionStar,服务机器人,OS-Serve2,多功能服务机器人,148000,商业导览/配送,2025-01,-,55,-,-,1.2,10h,工业 PC,激光雷达 + 深度相机,CE,企业直销,https://www.orionstar.com,0,0,0,,,,,,,,,,
杭州海康机器人股份有限公司,海康机器人,Hikrobot,移动机器人,AMR-1000,自主移动机器人,298000,柔性物流/智能搬运,2024-08,-,180,-,-,1.5,14h,工业 PC,激光 SLAM+ 视觉 SLAM,CE/FCC,企业直销,https://www.hikrobotics.com,0,0,0,,,,,,,,,,
苏州极智嘉科技有限公司,极智嘉,Geek+,AMR 系列,P1500,重载仓储 AMR,328000,重载仓储/搬运,2024-09,-,220,-,-,1.5,14h,工业 PC,激光 SLAM+ 视觉,CE,企业直销,https://www.geekplus.com,0,0,0,,,,,,,,,,
苏州极智嘉科技有限公司,极智嘉,Geek+,分拣系列,S2000,高速分拣机器人,398000,物流分拣/输送,2024-10,-,250,-,-,2.5,12h,工业 PC,激光 SLAM+ 视觉,CE,企业直销/项目定制,https://www.geekplus.com,0,0,0,,,,,,,,,,
科沃斯机器人股份有限公司,科沃斯,ECOVACS,地宝系列,T20 PRO,扫地机器人,4299,家庭地面清洁,2024-03,-,4.2,-,-,-,0.3h,嵌入式控制器,激光雷达 + 视觉 + 红外,3C/CE,官网/电商,https://www.ecovacs.com,0,0,0,-,850000,1150000,2000000,22%,494385,家庭用户,35%,48%,年报 + 估算
科沃斯机器人股份有限公司,科沃斯,ECOVACS,地宝系列,T10 OMNI,扫地机器人,3499,家庭地面清洁,2023-09,-,3.9,-,-,-,0.25h,嵌入式控制器,激光雷达 + 视觉,3C/CE,官网/电商,https://www.ecovacs.com,0,0,0,680000,920000,780000,2380000,15%,272922,家庭用户,32%,46%,年报 + 估算
科沃斯机器人股份有限公司,科沃斯,ECOVACS,地宝系列,X1 OMNI,扫地机器人,5999,家庭地面清洁,2023-05,-,4.6,-,-,-,0.3h,嵌入式控制器,激光雷达 + 视觉+AIVI,3C/CE,官网/电商,https://www.ecovacs.com,0,0,0,420000,580000,520000,1520000,10%,311948,高端家庭,38%,52%,年报 + 估算
科沃斯机器人股份有限公司,科沃斯,ECOVACS,地宝系列,N10 PLUS,扫地机器人,2499,家庭地面清洁,2023-03,-,3.5,-,-,-,0.2h,嵌入式控制器,激光导航,3C/CE,官网/电商,https://www.ecovacs.com,0,0,0,580000,720000,380000,1680000,7%,94962,家庭用户,28%,42%,估算
科沃斯机器人股份有限公司,科沃斯,ECOVACS,窗宝系列,W2 PRO,擦窗机器人,2999,窗户清洁,2024-02,-,2.8,-,-,-,0.2h,嵌入式控制器,路径规划 + 红外,3C/CE,官网/电商,https://www.ecovacs.com,0,0,0,,,,,,,,,,
科沃斯机器人股份有限公司,科沃斯,ECOVACS,沁宝系列,AIRBOT Z2,空气净化机器人,3999,空气净化/移动监测,2024-06,-,3.2,-,-,-,0.25h,嵌入式控制器,激光雷达 + 空气质量传感器,3C/CE,官网/电商,https://www.ecovacs.com,0,0,0,,,,,,,,,,
石头科技有限公司,石头科技,Roborock,G 系列,G20,扫地机器人,4999,家庭地面清洁,2024-05,-,4.5,-,-,-,0.35h,嵌入式控制器,激光雷达 + 视觉 + 结构光,3C/CE/FCC,官网/电商,https://www.roborock.com,0,0,0,-,420000,680000,1100000,13%,339932,家庭用户,43%,52%,年报 + 估算
石头科技有限公司,石头科技,Roborock,G 系列,G10S Pure,扫地机器人,3699,家庭地面清洁,2023-11,-,4.0,-,-,-,0.3h,嵌入式控制器,激光雷达 + 视觉,3C/CE,官网/电商,https://www.roborock.com,0,0,0,520000,680000,580000,1780000,11%,214542,家庭用户,40%,50%,年报 + 估算
石头科技有限公司,石头科技,Roborock,Q 系列,Q Revo,扫地机器人,2999,家庭地面清洁,2024-01,-,3.8,-,-,-,0.25h,嵌入式控制器,激光雷达,3C/CE,官网/电商,https://www.roborock.com,0,0,0,-,380000,520000,900000,10%,155948,家庭用户,45%,48%,年报 + 估算
石头科技有限公司,石头科技,Roborock,S 系列,S8 Pro Ultra,扫地机器人,6999,家庭地面清洁,2024-03,-,4.8,-,-,-,0.4h,嵌入式控制器,激光雷达 + 视觉 + 结构光,3C/CE/FCC,官网/电商,https://www.roborock.com,0,0,0,-,180000,280000,460000,5%,195972,高端家庭,48%,55%,年报 + 估算
云鲸智能科技有限公司,云鲸,NARWAL,J 系列,J4,扫地机器人,3999,家庭地面清洁,2024-04,-,4.0,-,-,-,0.3h,嵌入式控制器,激光雷达 + 视觉,3C/CE,官网/电商,https://www.narwal.com,0,0,0,-,280000,420000,700000,8%,167958,家庭用户,26%,45%,企业发布
云鲸智能科技有限公司,云鲸,NARWAL,J 系列,J3,扫地机器人,3299,家庭地面清洁,2023-08,-,3.7,-,-,-,0.25h,嵌入式控制器,激光雷达,3C/CE,官网/电商,https://www.narwal.com,0,0,0,380000,480000,280000,1140000,5%,92372,家庭用户,22%,42%,估算
云鲸智能科技有限公司,云鲸,NARWAL,J 系列,J4 Lite,扫地机器人,2999,家庭地面清洁,2024-08,-,3.5,-,-,-,0.25h,嵌入式控制器,激光雷达,3C/CE,官网/电商,https://www.narwal.com,0,0,0,,,,,,,,,,
追觅科技（苏州）有限公司,追觅,Dreame,X 系列,X40 Ultra,扫地机器人,5999,家庭地面清洁,2024-06,-,4.6,-,-,-,0.35h,嵌入式控制器,激光雷达 + 视觉 + 结构光,3C/CE/FCC,官网/电商,https://www.dreame.tech,0,0,0,-,180000,320000,500000,6%,191968,高端家庭,44%,48%,企业发布
追觅科技（苏州）有限公司,追觅,Dreame,X 系列,X30 Ultra,扫地机器人,4699,家庭地面清洁,2024-02,-,4.2,-,-,-,0.3h,嵌入式控制器,激光雷达 + 视觉,3C/CE,官网/电商,https://www.dreame.tech,0,0,0,-,280000,420000,700000,8%,197358,家庭用户,42%,46%,企业发布
追觅科技（苏州）有限公司,追觅,Dreame,L 系列,L10s Ultra,扫地机器人,3999,家庭地面清洁,2023-10,-,3.9,-,-,-,0.25h,嵌入式控制器,激光雷达 + 视觉,3C/CE,官网/电商,https://www.dreame.tech,0,0,0,320000,480000,380000,1180000,7%,151962,家庭用户,40%,44%,估算
追觅科技（苏州）有限公司,追觅,Dreame,W 系列,W10,扫拖机器人,2799,家庭地面清洁,2023-06,-,3.6,-,-,-,0.2h,嵌入式控制器,激光导航,3C/CE,官网/电商,https://www.dreame.tech,0,0,0,,,,,,,,,,
追觅科技（苏州）有限公司,追觅,Dreame,H 系列,H12 Pro,洗地机,2499,家庭地面湿清洁,2023-09,-,5.2,-,-,-,0.15h,嵌入式控制器,污物检测 + 红外,3C/CE,官网/电商,https://www.dreame.tech,0,0,0,,,,,,,,,,
云鲸智能科技有限公司,云鲸,NARWAL,S 系列,S1,扫拖机器人,2299,家庭地面清洁,2023-04,-,3.2,-,-,-,0.2h,嵌入式控制器,激光导航,3C/CE,官网/电商,https://www.narwal.com,0,0,0,,,,,,,,,,
科沃斯机器人股份有限公司,科沃斯,ECOVACS,地宝系列,T30S OMNI,扫地机器人,4999,家庭地面清洁,2025-01,-,4.4,-,-,-,0.35h,嵌入式控制器,激光雷达 + 视觉,3C/CE,官网/电商,https://www.ecovacs.com,0,0,0,,,,,,,,,,
石头科技有限公司,石头科技,Roborock,P 系列,P10 Pro,扫地机器人,2799,家庭地面清洁,2024-04,-,3.6,-,-,-,0.25h,嵌入式控制器,激光雷达,3C/CE,官网/电商,https://www.roborock.com,0,0,0,,,,,,,,,,
追觅科技（苏州）有限公司,追觅,Dreame,B 系列,B1,吹风机机器人,1999,个人护理,2024-09,-,0.8,-,-,-,0.1h,嵌入式控制器,温度 + 风速,3C/CE,官网/电商,https://www.dreame.tech,0,0,0,,,,,,,,,,
